Date,tick,1s,5s,10s,15s,20s,30s,45s,1min,2min,3min,4min,5min,6min,7min,8min,9min,10min,15min,20min,30min
20151229,0.00031942688230683283,0.00013203403858706855,8.470294353016221e-05,7.105809921054581e-05,6.44212246115779e-05,6.242178914906705e-05,6.29391900699332e-05,5.847303175352424e-05,6.303736971386374e-05,7.104149730378404e-05,7.312007813512248e-05,7.827379893947073e-05,7.797188127741094e-05,0.0001004042700557078,7.664140424215474e-05,0.00010691487277685448,9.970614674991826e-05,9.816695741855192e-05,8.416859178333246e-05,9.762406124805074e-05,0.00010121197418771725
20151230,0.00035665485012097506,0.0001437461460886614,9.605400708436055e-05,8.805306602419603e-05,8.883187899597855e-05,8.715204707244572e-05,9.411057190576655e-05,9.247019277016722e-05,9.078072050053357e-05,9.01673474777272e-05,7.952478046057691e-05,8.902034194749647e-05,7.910257171416408e-05,8.837582235170653e-05,6.370354702030397e-05,7.663318279165376e-05,8.107407803222917e-05,7.649671694693562e-05,0.00010164685669618887,8.240642676330926e-05,0.0001400365458809282
20151231,0.0003890133482873492,0.00016274362919435574,0.00011468647612146871,0.00010614572870584802,9.94777637587959e-05,0.00010198072252629575,9.402498368720287e-05,0.00010233127798050605,0.00010258380057784836,8.554327606908769e-05,0.00010282874396494756,8.047423900453997e-05,0.00010340657916939912,9.807463474450699e-05,8.14765669769544e-05,0.00010913673525586905,0.0001155484509031218,9.037298677939823e-05,7.645084152135564e-05,7.946004737070058e-05,9.986496870350785e-05
20160104,0.0010550338438251336,0.00037061949578272253,0.00034521629547052676,0.0003299029840287686,0.0003346954093985293,0.0003430741565176251,0.00032294648935684444,0.00038455010262223785,0.0003493707999012331,0.0003451616114255343,0.00040651893058912873,0.00044922876760716596,0.0004736905384641116,0.0003406518809358614,0.00033939956698514204,0.00026814897781741147,0.00032422833984077615,0.0003880366106376255,0.0002478447992882769,0.0003970667139535837,0.0003752477165562839
20160105,0.0008687995415283429,0.00037507783401037186,0.0003579874098169601,0.0003442893088054097,0.0003389913606113856,0.000350869163225455,0.0003625827494837938,0.00032383614530890925,0.00040657554336670574,0.00040459868567243473,0.0003338343656480643,0.0004458671458559118,0.0003356077621088879,0.00036493930428947296,0.00038882268614700064,0.0004988581119783091,0.0003947052679339879,0.00036384354392508914,0.0002964844068186488,0.0004117360429273313,0.0003813286740111869
20160106,0.0012237541707662094,0.00039035378951559127,0.0003491790175817929,0.0003497775100361994,0.0003232941742421299,0.0003397541740126279,0.0003360982521441353,0.0003175970652351003,0.0003583733936923437,0.0004102165714558879,0.00039202403201171884,0.00038618078514712913,0.0003989304939975001,0.0003531733915885027,0.0003302708729736969,0.0003425999863976849,0.0003744463833796681,0.00038758156940788295,0.0003527194173420093,0.0003066075658766243,0.0003894588720901656
20160107,0.0019982826724257896,0.0005100887404240999,0.00041536918690993833,0.00043172145958593304,0.0004092116234939314,0.00044445217616266705,0.00040445790967577817,0.00040998340086253543,0.00044021310010411825,0.00047253889081586893,0.00038901912894517983,0.00034868899552322055,0.0004327688480967726,0.00034269717269424404,0.00045999144829430465,0.00028284256932937314,0.00027991012081681984,0.00041192970285808874,0.00021910285201030328,0.0002761025618699178,0.0001936655975607541
20160108,0.001458442649017514,0.0004407256690595493,0.00039656616095104963,0.000398946469480721,0.00038974964806060355,0.0004258383909617205,0.0004045397357801199,0.00038184733319782365,0.0003901931422581923,0.0003982736853940693,0.0003622763318899596,0.00033344054543561015,0.000442742884658821,0.00036877865579910203,0.00033790949384815373,0.0004257718819664244,0.00041953967316464937,0.00044049242536597314,0.0006639471842676149,0.00045820043346043353,0.00047571656909223574
20160111,0.0008160732830638364,0.0004270329679868064,0.0003752232061337721,0.0003636657690849834,0.0003437460188219984,0.00034979770969107007,0.0003399923300243321,0.0003536026061270171,0.0003404936177054798,0.00036063894076391483,0.00031146840232489233,0.00022178124836407128,0.0002511141899392547,0.00035391740509021125,0.00027812308937960237,0.0002693982411460077,0.0003140459198807154,0.0003238465457819893,0.00040992092510598675,0.0003427787767084151,0.0002542001251395698
20160112,0.0007937489813351423,0.00037891090075581183,0.00034199786411121826,0.0003228774258299921,0.0003230051149091783,0.00030914072180665916,0.0003184205293999398,0.0003142384464345289,0.000288947437065826,0.00027581714347040963,0.00025104629241152473,0.00020896893296462604,0.00021772761844237836,0.00020032211361985068,0.0002551870659565799,0.00018021205037154836,0.00018991166661028926,0.00022322734865133718,0.00016788843565882094,0.00012203998962175088,6.853956157275241e-05
20160113,0.0010038408596181913,0.00048358122679681274,0.00047036818074548627,0.00046917276871811435,0.00048485549089591167,0.0004469225881762963,0.00045512507170081116,0.0004215521894838803,0.00042723693991964087,0.00040423836455837076,0.0003634162821836286,0.0003486248280397579,0.00041783263805637817,0.00033210244124338333,0.0003474525050643487,0.00034682687845790354,0.0002580743760337898,0.00035985796613221464,0.00030961331629569274,0.00036761185757747496,0.00037589335017021127
20160114,0.0010818126232397353,0.0005565304137033797,0.0004940583801631176,0.00044781211619723094,0.00045231521996360485,0.0004347756515498746,0.00043816659701886255,0.0004476335100894698,0.0004547275426052373,0.0004196791043316438,0.00047564324317797834,0.00040634906902136,0.0004083229241177907,0.0005132337093769234,0.0005693757775239591,0.000405671233858746,0.00040720952823333415,0.0006052350954172701,0.0004809732983360309,0.0006134851941645948,0.0008048431352640933
20160115,0.0015164092249959214,0.0006541426303160757,0.0005768177333314843,0.0005282980536135367,0.0004940688024234854,0.0004582665226118338,0.000402932646378515,0.0004204371658318545,0.00040822112374176646,0.0003531348837491831,0.00040662201540476366,0.00024413709726991736,0.0002784368710727531,0.00038102563559195207,0.00029046537454155094,0.0002563957779148329,0.0003375502245785657,0.0003412688342274236,0.0002760225955229716,0.0003747604007029948,0.0003316692201089222
20160119,0.0008287192510652643,0.00042941544434446925,0.0003693692659166372,0.0003258284969993332,0.0003115721012573566,0.0003115038677195252,0.0002817583269185297,0.0002856942294620388,0.00028776658226875915,0.000287937362983143,0.0002649069365269833,0.00029111103226662274,0.00031282615098603383,0.0003085751598943768,0.0002935059261308766,0.0002918005310308698,0.0002781401342917687,0.00028383108882509654,0.0002939060438763959,0.00021319707323547984,0.0002451872246676001
20160120,0.0015631362336543725,0.0007604960082801013,0.000662927517321188,0.0005952932991296312,0.0005786661369444614,0.0005879918867170285,0.0005709626353649583,0.0005255156757511984,0.0005329495218083309,0.00047429826166062064,0.0005354292449663115,0.0005113278276434357,0.0005419014912339289,0.0005782289192914795,0.0005723435890337233,0.0005168347610549709,0.0004828747623367302,0.0005699280063026727,0.0006481149138607452,0.0006811803715565759,0.000954568059257373
20160121,0.0010218946480018965,0.0006645238467470797,0.0006033484558318221,0.0005316746177852894,0.0005199028847367654,0.0005005361157401807,0.0005134689754444801,0.0005501903405833781,0.0005505169075918865,0.0005665900654057615,0.0006817040834318234,0.0005347132496266083,0.0005478226134921137,0.000538383516275946,0.0004414780868585204,0.0005236059499525388,0.0005430919723882186,0.0006871560239841075,0.0007809895357417308,0.0007010689091462323,0.0008317960078111699
20160122,0.0009103009300345758,0.0003429192743869069,0.0002720021968012084,0.00026039101153700904,0.0002463548824253551,0.0002549281916725622,0.00023976913862780412,0.00022526556492809594,0.00026227118132120524,0.0002461187587270853,0.00027409596390993703,0.0002455360511738766,0.0002645886124327599,0.000254266856945541,0.0003156434334052918,0.0002839639384727289,0.0003135613228269514,0.00035081271680288657,0.0002759941571355027,0.0003016428017774342,0.0002919688366389775
20160125,0.0006080339490129396,0.0002907342458319692,0.0002442325434546103,0.000244607464441597,0.00024420806878056007,0.00024321774732125826,0.0002477365366937254,0.0002586357316879185,0.0002672911006899456,0.00031600103270229844,0.00022265169323409015,0.00025735525654867945,0.0002337373920549232,0.0003063230070249438,0.00022672006274843305,0.0002189437446747449,0.00026342965656623235,0.00028273745864776037,0.00026134272404397795,0.0001739935092539926,0.00013496594300373328
20160126,0.0010105176366715703,0.00040688097700420284,0.00035443814317356306,0.0003342378674958639,0.0003439878238119227,0.0003253699486588767,0.00034207308693784286,0.00037432986383976357,0.0003411959984603076,0.00031482322043075453,0.00039116891182557653,0.00031418364592909515,0.0004121120052745099,0.00046613164014731943,0.0004154939628424772,0.00035787971501671426,0.00044962188764408766,0.0004158579294765016,0.00040926240981796355,0.0003957536176092776,0.0004254049191141394
